all,kall,k,kcr,kli,kpr,knpr,ksd,kst,kap,kfo,knf,kres,kfeed,cereals20,cereals,oilcrops,sugarcrops,bioenergycrops,other_crops,crops_excluding_bioenergy_and_forage,kforest,k_trade,k_notrade,time,t_all,processing20,past,past_all,past_soc,awms,awms_prp,awms_conf,pollutants_all,pollutants,n_pollutants_direct,land,kall_agg1,kall_agg2,npk,attributes,dm_ge_nr,report_it,default_sep18,biogas_dec18,biochar_jan19
potato,kall,k,kcr,,kpr,,,kst,,kfo,,,kfeed,,,,,,other_crops,crops_excluding_bioenergy_and_forage,,k_trade,,,,,,,,,,,,,,,,,,,,,default_sep18,biogas_dec18,biochar_jan19
puls_pro,kall,k,kcr,,,knpr,,kst,,kfo,,,kfeed,,,,,,other_crops,crops_excluding_bioenergy_and_forage,,k_trade,,,,,,,,,,,,,,,,,,,,,default_sep18,biogas_dec18,biochar_jan19
rapeseed,kall,k,kcr,,kpr,,,kst,,kfo,,,kfeed,,,oilcrops,,,,crops_excluding_bioenergy_and_forage,,k_trade,,,,,,,,,,,,,,,,,,,,,default_sep18,biogas_dec18,biochar_jan19
res_cereals,kall,,,,,knpr,,,,,knf,kres,kfeed,,,,,,,,,,k_notrade,,,,,,,,,,,,,,,,,,,,default_sep18,biogas_dec18,biochar_jan19
res_fibrous,kall,,,,,knpr,,,,,knf,kres,kfeed,,,,,,,,,,k_notrade,,,,,,,,,,,,,,,,,,,,default_sep18,biogas_dec18,biochar_jan19
res_nonfibrous,kall,,,,,knpr,,,,,knf,kres,kfeed,,,,,,,,,,k_notrade,,,,,,,,,,,,,,,,,,,,default_sep18,biogas_dec18,biochar_jan19
rice_pro,kall,k,kcr,,kpr,,,kst,,kfo,,,kfeed,cereals20,cereals,,,,,crops_excluding_bioenergy_and_forage,,k_trade,,,,,,,,,,,,,,,,,,,,,default_sep18,biogas_dec18,biochar_jan19
scp,kall,,,,,knpr,ksd,kst,,kfo,,,kfeed,,,,,,,,,k_trade,,,,,,,,,,,,,,,,,,,,,default_sep18,biogas_dec18,biochar_jan19
soybean,kall,k,kcr,,kpr,,,kst,,kfo,,,kfeed,,,oilcrops,,,,crops_excluding_bioenergy_and_forage,,k_trade,,,,,,,,,,,,,,,,,,,,,default_sep18,biogas_dec18,biochar_jan19
sugar,kall,,,,kpr,,ksd,kst,,kfo,,,kfeed,,,,,,,,,k_trade,,,,,,,,,,,,,,,,,,,,,default_sep18,biogas_dec18,biochar_jan19
sugr_beet,kall,k,kcr,,kpr,,,kst,,kfo,,,kfeed,,,,sugarcrops,,,crops_excluding_bioenergy_and_forage,,k_trade,,,,,,,,,,,,,,,,,,,,,default_sep18,biogas_dec18,biochar_jan19
sugr_cane,kall,k,kcr,,kpr,,,kst,,kfo,,,kfeed,,,,sugarcrops,,,crops_excluding_bioenergy_and_forage,,k_trade,,,,,,,,,,,,,,,,,,,,,default_sep18,biogas_dec18,biochar_jan19
sunflower,kall,k,kcr,,kpr,,,kst,,kfo,,,kfeed,,,oilcrops,,,,crops_excluding_bioenergy_and_forage,,k_trade,,,,,,,,,,,,,,,,,,,,,default_sep18,biogas_dec18,biochar_jan19
tece,kall,k,kcr,,kpr,,,kst,,kfo,,,kfeed,cereals20,cereals,,,,,crops_excluding_bioenergy_and_forage,,k_trade,,,,,,,,,,,,,,,,,,,,,default_sep18,biogas_dec18,biochar_jan19
trce,kall,k,kcr,,kpr,,,kst,,kfo,,,kfeed,cereals20,cereals,,,,,crops_excluding_bioenergy_and_forage,,k_trade,,,,,,,,,,,,,,,,,,,,,default_sep18,biogas_dec18,biochar_jan19
wood,kall,,,,,,,,,,,,,,,,,,,,kforest,k_trade,,,,,,,,,,,,,,,,,,,,,default_sep18,biogas_dec18,biochar_jan19
woodfuel,kall,,,,,,,,,,,,,,,,,,,,kforest,k_trade,,,,,,,,,,,,,,,,,,,,,default_sep18,biogas_dec18,biochar_jan19
y1965,,,,,,,,,,,,,,,,,,,,,,,,time,,,past,past_all,past_soc,,,,,,,,,,,,,,default_sep18,biogas_dec18,biochar_jan19
y1970,,,,,,,,,,,,,,,,,,,,,,,,time,,,past,past_all,past_soc,,,,,,,,,,,,,,default_sep18,biogas_dec18,biochar_jan19
y1975,,,,,,,,,,,,,,,,,,,,,,,,time,,,past,past_all,past_soc,,,,,,,,,,,,,,default_sep18,biogas_dec18,biochar_jan19
y1980,,,,,,,,,,,,,,,,,,,,,,,,time,,,past,past_all,past_soc,,,,,,,,,,,,,,default_sep18,biogas_dec18,biochar_jan19
y1985,,,,,,,,,,,,,,,,,,,,,,,,time,,,past,past_all,past_soc,,,,,,,,,,,,,,default_sep18,biogas_dec18,biochar_jan19
y1990,,,,,,,,,,,,,,,,,,,,,,,,time,,,past,past_all,past_soc,,,,,,,,,,,,,,default_sep18,biogas_dec18,biochar_jan19
y1995,,,,,,,,,,,,,,,,,,,,,,,,time,t_all,,past,past_all,past_soc,,,,,,,,,,,,,,default_sep18,biogas_dec18,biochar_jan19
y2000,,,,,,,,,,,,,,,,,,,,,,,,time,t_all,,past,past_all,past_soc,,,,,,,,,,,,,,default_sep18,biogas_dec18,biochar_jan19
y2005,,,,,,,,,,,,,,,,,,,,,,,,time,t_all,,past,past_all,past_soc,,,,,,,,,,,,,,default_sep18,biogas_dec18,biochar_jan19
y2010,,,,,,,,,,,,,,,,,,,,,,,,time,t_all,,past,past_all,past_soc,,,,,,,,,,,,,,default_sep18,biogas_dec18,biochar_jan19
y2015,,,,,,,,,,,,,,,,,,,,,,,,time,t_all,,,,,,,,,,,,,,,,,,default_sep18,biogas_dec18,biochar_jan19
y2020,,,,,,,,,,,,,,,,,,,,,,,,time,t_all,,,,,,,,,,,,,,,,,,default_sep18,biogas_dec18,biochar_jan19
y2025,,,,,,,,,,,,,,,,,,,,,,,,time,t_all,,,,,,,,,,,,,,,,,,default_sep18,biogas_dec18,biochar_jan19
y2030,,,,,,,,,,,,,,,,,,,,,,,,time,t_all,,,,,,,,,,,,,,,,,,default_sep18,biogas_dec18,biochar_jan19
y2035,,,,,,,,,,,,,,,,,,,,,,,,time,t_all,,,,,,,,,,,,,,,,,,default_sep18,biogas_dec18,biochar_jan19
y2040,,,,,,,,,,,,,,,,,,,,,,,,time,t_all,,,,,,,,,,,,,,,,,,default_sep18,biogas_dec18,biochar_jan19
y2045,,,,,,,,,,,,,,,,,,,,,,,,time,t_all,,,,,,,,,,,,,,,,,,default_sep18,biogas_dec18,biochar_jan19
y2050,,,,,,,,,,,,,,,,,,,,,,,,time,t_all,,,,,,,,,,,,,,,,,,default_sep18,biogas_dec18,biochar_jan19
y2055,,,,,,,,,,,,,,,,,,,,,,,,time,t_all,,,,,,,,,,,,,,,,,,default_sep18,biogas_dec18,biochar_jan19
